"","freq","unit","geo","TIME_PERIOD","values"
"1","A","THS","AL",2001-01-01,3060.18
"2","A","THS","AL",2002-01-01,3051.01
"3","A","THS","AL",2003-01-01,3039.62
"4","A","THS","AL",2004-01-01,3026.94
"5","A","THS","AL",2005-01-01,3011.49
"6","A","THS","AL",2006-01-01,2992.55
"7","A","THS","AL",2007-01-01,2970.02
"8","A","THS","AL",2008-01-01,2947.32
"9","A","THS","AL",2009-01-01,2927.52
"10","A","THS","AL",2010-01-01,2913.03
"11","A","THS","AL",2011-01-01,2905.2
"12","A","THS","AL",2012-01-01,2900.4
"13","A","THS","AL",2013-01-01,2895.09
"14","A","THS","AL",2014-01-01,2889.1
"15","A","THS","AL",2015-01-01,2880.7
"16","A","THS","AL",2016-01-01,2876.1
"17","A","THS","AL",2017-01-01,2873.46
"18","A","THS","AL",2018-01-01,2866.38
"19","A","THS","AL",2019-01-01,2854.19
"20","A","THS","AL",2020-01-01,2837.85
"21","A","THS","AL",2021-01-01,2811.67
"22","A","THS","AL0",2001-01-01,3060.18
"23","A","THS","AL0",2002-01-01,3051.01
"24","A","THS","AL0",2003-01-01,3039.62
"25","A","THS","AL0",2004-01-01,3026.94
"26","A","THS","AL0",2005-01-01,3011.49
"27","A","THS","AL0",2006-01-01,2992.55
"28","A","THS","AL0",2007-01-01,2970.02
"29","A","THS","AL0",2008-01-01,2947.32
"30","A","THS","AL0",2009-01-01,2927.52
"31","A","THS","AL0",2010-01-01,2913.03
"32","A","THS","AL0",2011-01-01,2905.2
"33","A","THS","AL0",2012-01-01,2900.4
"34","A","THS","AL0",2013-01-01,2895.09
"35","A","THS","AL0",2014-01-01,2889.1
"36","A","THS","AL0",2015-01-01,2880.7
"37","A","THS","AL0",2016-01-01,2876.1
"38","A","THS","AL0",2017-01-01,2873.46
"39","A","THS","AL0",2018-01-01,2866.38
"40","A","THS","AL0",2019-01-01,2854.19
"41","A","THS","AL0",2020-01-01,2837.85
"42","A","THS","AL0",2021-01-01,2811.67
"43","A","THS","AL01",2001-01-01,955.5
"44","A","THS","AL01",2002-01-01,947.32
"45","A","THS","AL01",2003-01-01,939.76
"46","A","THS","AL01",2004-01-01,932.18
"47","A","THS","AL01",2005-01-01,923.79
"48","A","THS","AL01",2006-01-01,913.59
"49","A","THS","AL01",2007-01-01,901.68
"50","A","THS","AL01",2008-01-01,889.88
"51","A","THS","AL01",2009-01-01,879.5
"52","A","THS","AL01",2010-01-01,871.75
"53","A","THS","AL01",2011-01-01,864.87
"54","A","THS","AL01",2012-01-01,857.08
"55","A","THS","AL01",2013-01-01,848.96
"56","A","THS","AL01",2014-01-01,840.67
"57","A","THS","AL01",2015-01-01,833.69
"58","A","THS","AL01",2016-01-01,828.94
"59","A","THS","AL01",2017-01-01,823.36
"60","A","THS","AL01",2018-01-01,816.78
"61","A","THS","AL01",2019-01-01,809.23
"62","A","THS","AL01",2020-01-01,801.33
"63","A","THS","AL01",2021-01-01,790.96
